onset	duration	sample	trial_type	response_time	stim_file	value
0.0400000000	n/a	n/a	STATUS	n/a	n/a	boundary
23.9300000000	n/a	n/a	Start and Finish	n/a	n/a	17
23.9800000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
24.3300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.8300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.3480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.8480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.1820000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
26.5320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.0320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.5500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.0520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.3840000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
28.7340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.2340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.7520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.2540000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.5860000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
30.9380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.4380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.9540000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.4560000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.7880000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
33.1400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.6400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.1560000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.6580000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.9900000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
