onset	duration	sample	trial_type	response_time	stim_file	value
0.0140000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
17.7520000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
17.8980000000	n/a	n/a	Start and Finish	n/a	n/a	17
17.9480000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
18.2980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.8000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.3160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.8160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.1500000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
20.5000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.0020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.5180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.0200000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.3520000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
22.7020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.2040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.7200000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.2220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.5540000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
24.9040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.4060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.9220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.4240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.7580000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
27.1080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.6080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.1240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.6260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.9600000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
29.3100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.8100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.3260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.8280000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
31.1620000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
31.5120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
32.0120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
