onset	duration	sample	trial_type	response_time	stim_file	value
0.0200000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
0.8800000000	n/a	n/a	STATUS	n/a	n/a	boundary
22.6020000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
22.8760000000	n/a	n/a	Start and Finish	n/a	n/a	17
22.9260000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
23.2760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.7760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.2940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.7940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.1280000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
25.4780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.9780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.4960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.9960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.3300000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
27.6820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.1820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.6980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.1980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.5320000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
29.8840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.3840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.9000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.4000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.7340000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
