onset	duration	sample	trial_type	response_time	stim_file	value
0.0340000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
1.2800000000	n/a	n/a	STATUS	n/a	n/a	boundary
10.2160000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
10.3320000000	n/a	n/a	Start and Finish	n/a	n/a	17
10.3820000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
10.7320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
11.2320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
11.7500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.2500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.5840000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
12.9340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.4340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.9520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
14.4520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
14.7860000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
15.1360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
15.6360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.1540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.6540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.9880000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
17.3380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.8380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.3560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.8560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.1900000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
19.5400000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.0400000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.5600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.0600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.3920000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
21.7420000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.2420000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
