onset	duration	sample	trial_type	response_time	stim_file	value
16.2580000000	n/a	n/a	Start and Finish	n/a	n/a	17
16.3080000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
16.6580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.1600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.6780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.1780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.5120000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
18.8620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.3620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.8800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.3800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.7140000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
21.0640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.5640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.0820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.5820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.9160000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
23.2660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.7660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.2840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.7840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.1180000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
25.4680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.9680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.4860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.9860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.3200000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
27.6700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.1700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.6880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.1880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.5220000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
