onset	duration	sample	trial_type	response_time	stim_file	value
21.2160000000	n/a	n/a	Start and Finish	n/a	n/a	17
21.2660000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
21.6160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.1160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.6340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.1340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.4680000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
23.8180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.3180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.8360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.3360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.6700000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
26.0200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.5200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.0380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.5400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.8720000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
28.2220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.7220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.2400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.7420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.0740000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
30.4260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.9260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.4420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.9440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.2760000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
32.6280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.1280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.6440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.1460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.4780000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
34.8300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.3300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.8480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
36.3480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
36.6820000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
37.0320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
37.5320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
38.0500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
