onset	duration	sample	trial_type	response_time	stim_file	value
0.0140000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
1.3600000000	n/a	n/a	STATUS	n/a	n/a	boundary
23.6580000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
23.9280000000	n/a	n/a	Start and Finish	n/a	n/a	17
23.9780000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
24.3280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.8280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.3460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.8460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.1800000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
26.5320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.0320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.5480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.0480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.3820000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
28.7340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.2340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.7500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.2500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.5840000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
30.9360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.4360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.9520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.4520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.7860000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
33.1380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
