onset	duration	sample	trial_type	response_time	stim_file	value
0.0040000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
65.9320000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
66.4340000000	n/a	n/a	Start and Finish	n/a	n/a	17
66.4840000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
66.8340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.3340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.8520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.3520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.6860000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
69.0360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.5360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.0540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.5540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.8880000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
71.2380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.7380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.2560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.7580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.0900000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
73.4420000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.9420000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.4580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.9600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
75.2920000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
75.6440000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.1440000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.6600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.1620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.4940000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
77.8460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
78.3460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
78.8640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.3640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.6980000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
80.0480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
80.5480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.0660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.5660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.9000000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
82.2500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
82.7500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.2680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.7680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.1020000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
84.4520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.9540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
85.4700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
85.9700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
86.3040000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
86.6540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
87.1560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
87.6720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
88.1720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
88.5060000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
88.8560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
89.3580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
89.8740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
90.3760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
90.7100000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
91.0580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
91.5600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
92.0760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
92.5780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
92.9120000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
93.2600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
93.7620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
94.2800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
94.7800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
95.1140000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
95.4640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
95.9640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
96.4820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
96.9820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
97.3160000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
97.6660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
98.1660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
98.6840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
99.1840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
99.5180000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
99.8680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
100.3680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
100.8860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
101.3860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
101.7200000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
102.0700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
102.5700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
103.0880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
103.5880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
103.9220000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
104.2720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
104.7720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
105.2900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
105.7900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
106.1240000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
106.4760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
106.9760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
107.4920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
107.9920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
108.3260000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
108.6780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
109.1780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
109.6940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
110.1940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
110.5280000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
110.8800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
111.3800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
111.8980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
112.3980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
112.7320000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
113.0820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
113.5820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
114.1000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
114.6000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
114.9340000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
115.2840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
115.7840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
116.3020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
116.8020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
117.1360000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
117.4860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
117.9860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
118.5040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
119.0040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
119.3380000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
119.6880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
120.1900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
120.7060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
121.2060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
121.5400000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
121.8920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
122.3920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
122.9080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
123.4100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
123.7420000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
124.0920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
124.5940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
125.1100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
125.6120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
125.9440000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
126.2940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
126.7960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
127.3120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
127.8140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
128.1460000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
128.4980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
128.9980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
129.5140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
130.0160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
130.3500000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
130.7000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
131.2000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
131.7180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
132.2180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
132.7340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
133.2360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
137.1080000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
142.4560000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
144.8140000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
145.1640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
145.1660000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
145.6640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
146.1840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
146.6840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
147.0180000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
147.1660000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
147.3660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
147.8660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
148.1280000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
148.3840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
148.8860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
149.2180000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
149.4600000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
149.5700000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
150.0700000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
150.5860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
151.0880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
151.4200000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
151.7720000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
152.2720000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
152.7880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
153.2900000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
153.6220000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
153.9740000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
154.4760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
154.9920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
155.4920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
155.8260000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
156.1760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
156.6760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
157.1940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
157.6940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
158.0280000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
158.3780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
158.8780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
