onset	duration	sample	trial_type	response_time	stim_file	value
0.0140000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
3.1600000000	n/a	n/a	STATUS	n/a	n/a	boundary
11.8460000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
12.0540000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
12.4060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
12.9060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
13.4220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
13.9240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
14.2560000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
14.6080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
15.1080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
15.6240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
16.1260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
16.4600000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
16.8100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
17.3100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
17.8280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
18.3280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
18.6620000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
19.0120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
19.5120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
20.0300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
20.5300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
20.8640000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
21.2140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
21.7140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.2320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.7340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.0680000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
23.4160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.9180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.4340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.9340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.2680000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
25.6180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.1200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.6360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.1380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.4720000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
27.8200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.3220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.8400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.3400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.6740000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
30.0240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.5240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.0420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.5420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.8760000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
32.2260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.7260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.2440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.7440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.0780000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
34.4280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.9280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.4460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.9460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
36.2800000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
36.6300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
37.1300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
37.6480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
38.1480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
38.4820000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
38.8320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
39.3320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
39.8500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
40.3500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
