onset	duration	sample	trial_type	response_time	stim_file	value
0.0340000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
10.7540000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
10.7660000000	n/a	n/a	Start and Finish	n/a	n/a	17
10.8160000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
11.1660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
11.6680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.1840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.6840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.0180000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
13.3680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.8700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
14.3860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
14.8880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
15.2220000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
15.5700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.0720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.5880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.0900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.4240000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
17.7720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.2740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.7920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.2920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.6260000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
19.9760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.4760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.9940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.4940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.8280000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
22.1780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.6780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.1960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.6960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.0300000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
24.3800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.8800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.3980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.6500000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
25.8980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.2320000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
26.5820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.0820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.2220000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
27.6000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.1000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.4340000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
28.7840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.2840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.8020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.3020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.6360000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
30.9880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
31.4880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
32.0040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
32.5040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
32.8380000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
33.1900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
33.6900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
34.2060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
34.7060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
35.0400000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
35.3920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
35.8920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
36.4100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
36.9100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
37.2440000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
37.5940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
38.0940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
38.6120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
39.1120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
39.4460000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
39.7960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
40.2960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
40.8140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
41.3140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
41.6480000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
42.0000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
42.5000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
43.0160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
43.5160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
43.8500000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
44.2000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
44.7020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
45.2180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
45.7180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
46.0520000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
46.4020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
46.9040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
47.4200000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
47.9220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
48.2540000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
48.6040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
49.1060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
49.6220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
50.1240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
50.4580000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
50.8060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
51.3080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
51.8240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
52.3260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
52.6600000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
53.0100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
53.5100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
54.0260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
54.5280000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
54.8620000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
55.2120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
55.7120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
56.2280000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
56.7300000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
57.0640000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
57.4140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
57.9160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.4320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.9320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
59.2660000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
59.6160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
60.1160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
60.6340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.1340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.4680000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
61.8180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.3180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.8360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.3360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.6700000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
64.0220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
64.5220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.0380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.5380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.8720000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
66.2240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
66.7240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.2400000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.7400000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.0740000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
68.4260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.9260000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.4440000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.9440000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.2780000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
70.6280000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.1280000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.6460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.1460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.4800000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
72.8300000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.3300000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.8480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.3480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.6820000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
75.0320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
75.5320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.0500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.5500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.0680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.5680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.9760000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
