onset	duration	sample	trial_type	response_time	stim_file	value
0.0040000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
43.0240000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
66.8380000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
67.1880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
67.6880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
68.2060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
68.7080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
69.0400000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
69.3920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
69.8920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
70.4080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
70.9100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
71.2420000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
71.5940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
72.0940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
72.6100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
73.1120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
73.4440000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
73.7960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
74.2960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
74.8140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
75.3140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
75.6480000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
75.9980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
76.4980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
77.0160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
77.5160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
77.8500000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
78.2000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
