onset	duration	sample	trial_type	response_time	stim_file	value
0.0100000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
29.7040000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
49.1520000000	n/a	n/a	Start and Finish	n/a	n/a	17
49.2020000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
49.5520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
50.0540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
50.5700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
51.0700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
51.4040000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
51.7560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
52.2560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
52.7740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
53.2740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
53.6080000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
53.9580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
54.4580000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
54.9760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
55.4760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
55.8100000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
56.1600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
56.6600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
57.1780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
57.6780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.0120000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
58.3620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.8620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
59.3800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
59.8800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
60.2140000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
60.5640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.0640000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.5820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.0820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.4160000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
62.7660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.2660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.7840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
64.2840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
64.6180000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
64.9680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.4680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.9880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
66.4880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
66.8260000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
67.1760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.6880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.2060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.7060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.0400000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
69.3900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.8900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.4080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.9080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.2420000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
71.5920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.0920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.6100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.1100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.4440000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
73.7940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.2960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.8120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
75.3120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
75.6460000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
75.9960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.4980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.0140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.5140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.8480000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
78.1980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
78.7000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.2160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.7180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
80.0520000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
80.4000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
80.9020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.4180000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.9200000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
82.2540000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
82.6040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.1040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.6220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.1220000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.4560000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
84.8060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
85.3060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
85.8240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
86.3240000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
86.6580000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
87.0080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
87.5080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
