onset	duration	sample	trial_type	response_time	stim_file	value
0.0140000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
1.7600000000	n/a	n/a	STATUS	n/a	n/a	boundary
12.4660000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
12.6280000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
12.9800000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
13.4800000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
13.9960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
14.4980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
14.8300000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
15.1800000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
15.6820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
16.1980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
16.7000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
17.0320000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
17.3840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
17.8840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
18.4000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
18.9020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
19.2340000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
19.5860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
20.0860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
20.6020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
21.1040000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
21.4380000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
21.7880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.2880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
22.8060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.3060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
23.6400000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
23.9900000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
24.4900000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.0080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.5080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
25.8420000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
26.1920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
26.6920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.2100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.7100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.0440000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
28.3940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.8960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.4120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.9120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.2460000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
30.5960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.0980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.6140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.1140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
