onset	duration	sample	trial_type	response_time	stim_file	value
0.0200000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
1.7200000000	n/a	n/a	STATUS	n/a	n/a	boundary
17.2540000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
17.3420000000	n/a	n/a	Start and Finish	n/a	n/a	17
17.3920000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
17.7420000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.2440000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.7600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.2600000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.5940000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
19.9460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.4460000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.9620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.4620000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.7960000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
22.1480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.6480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.1660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.6660000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.0000000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
24.3500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.8500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.3680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.8680000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.2020000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
26.5520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.0520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.5700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.0700000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.4040000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
28.7540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.2540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.7720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.2720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.6060000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
30.9560000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
