onset	duration	sample	trial_type	response_time	stim_file	value
0.0140000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
1.4800000000	n/a	n/a	STATUS	n/a	n/a	boundary
9.5400000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
9.8300000000	n/a	n/a	Start and Finish	n/a	n/a	17
9.8780000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
10.2300000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
10.7300000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
11.2480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
11.7480000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.0820000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
12.4320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
12.9320000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.4500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
13.9500000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
14.2840000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
14.6340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
15.1340000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
15.6520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.1520000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
16.4860000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
16.8360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.3360000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
17.8540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.3540000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
18.6880000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
19.0380000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
