onset	duration	sample	trial_type	response_time	stim_file	value
1.1200000000	n/a	n/a	STATUS	n/a	n/a	boundary
18.6820000000	n/a	n/a	Start and Finish	n/a	n/a	17
18.7320000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
19.0820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
19.5840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.1020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.6020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
20.9360000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
21.2840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
21.7860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.3020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
22.8040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.1380000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
23.4880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
23.9880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
24.5040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.0060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
25.3400000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
25.6900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.1900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
26.7060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.2080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
27.5420000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
27.8920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.3940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
28.9100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.4100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
29.7440000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
30.0940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
30.5940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
31.1120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
31.6120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
