onset	duration	sample	trial_type	response_time	stim_file	value
0.0040000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
57.0720000000	n/a	n/a	Start and Finish	n/a	n/a	17
57.1220000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
57.4720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
57.9720000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.4900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
58.9900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
59.3240000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
59.6740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
59.7520000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
60.1740000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
60.6920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.1920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
61.5260000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
61.8760000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.3780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
62.8940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.3940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
63.7280000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
64.0780000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
64.5800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.0960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.5960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
65.9300000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
66.2800000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
66.7820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.2980000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
67.8000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.1340000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
68.4820000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
68.9840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
69.5000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.0020000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
70.3360000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
70.6840000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.1860000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
71.7040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.2040000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
72.5380000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
72.8880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.3880000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
73.9060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.4060000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
74.7400000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
75.0900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
75.5900000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.1080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.6080000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
76.9420000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
77.2920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
77.7920000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
78.3100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
78.7000000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
78.8100000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.1440000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
79.4940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
79.8900000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
79.9940000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
80.5120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.0120000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
81.3460000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
81.6960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
82.1960000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
82.7140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.2140000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
83.5480000000	n/a	n/a	Eyes Closed: Every 2000 ms	n/a	n/a	11
83.9000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.4000000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
84.9160000000	n/a	n/a	Eyes Closed: Every 500 ms	n/a	n/a	1
